Pos.;Art;Typ;Identifikation;Inventarnummer;Barcode
996;Wasserrettung;Rettungsboote;Rettungsboot 02;;2000000396
997;Wasserrettung;Rettungswesten;Rettungsweste 01;2000000529;2000000529
998;Wasserrettung;Rettungswesten;Rettungsweste 04;2000000532;2000000532
999;Wasserrettung;Rettungswesten;Rettungsweste 06;;2000000583
1000;Wasserrettung;Rettungswesten;Rettungsweste 05;;2000000582
1001;Wasserrettung;Rettungswesten;Rettungsweste 07;;2000000584
1002;Wasserrettung;Rettungswesten;Rettungsweste 08;;2000000585
1003;Wasserrettung;Rettungswesten;Rettungsweste 03;2000000531;2000000531
1004;Wasserrettung;Rettungswesten;Rettungsweste 02;2000000530;2000000530
1005;Wasserrettung;Rettungswesten;Rettungsweste 09;2000000877;2000000877
1006;Wasserrettung;Rettungswesten;Rettungsweste 10;2000000878;2000000878
1007;Wasserrettung;Zubehör für Rettungsboot;Propellerschutz 01;;2000000591
1008;Werkzeuge und Arbeitsgeräte;Airbagsicherung;Airbagsicherungs-System 03;2000000792;2000000792
1009;Werkzeuge und Arbeitsgeräte;Airbagsicherung;Airbagsicherung 01;2000000007;2000000007
1010;Werkzeuge und Arbeitsgeräte;Airbagsicherung;Airbagsicherungs-System 02;2000000791;2000000791
1011;Werkzeuge und Arbeitsgeräte;Äxte, Beile;Spaltaxt 01;;2000000077
1012;Werkzeuge und Arbeitsgeräte;Äxte, Beile;Feuerwehraxt 01 10-64-2;;2000000425
1013;Werkzeuge und Arbeitsgeräte;Äxte, Beile;TNT-Tool 02;2000000129;2000000129
1014;Werkzeuge und Arbeitsgeräte;Äxte, Beile;TNT-Tool 01;;2000000079
1015;Werkzeuge und Arbeitsgeräte;Äxte, Beile;Feuerwehraxt 02;;2000000078
1016;Werkzeuge und Arbeitsgeräte;Äxte, Beile;Feuerwehraxt 01 10-23-2;2000000330;2000000330
1017;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 02;;
1018;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 06;;
1019;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 07;;
1020;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 08;;
1021;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 04;;
1022;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 03;;
1023;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 05;;
1024;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Besen 01;;
1025;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Wasserschieber 05;;
1026;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Wasserschieber 04;;
1027;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Wasserschieber 03;;
1028;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Wasserschieber 02;;
1029;Werkzeuge und Arbeitsgeräte;Besen, Wasserschieber;Wasserschieber 01;;
1030;Werkzeuge und Arbeitsgeräte;Bolzenschneider;Bolzenschneider 01 10-23-2;;2000000329
1031;Werkzeuge und Arbeitsgeräte;Bolzenschneider;Bolzenschneider 02 10-23-2;;2000000331
1032;Werkzeuge und Arbeitsgeräte;Bolzenschneider;Bolzenschneider 04;;2000000191
1033;Werkzeuge und Arbeitsgeräte;Bolzenschneider;Bolzenschneider 01 10-48-2;;2000000386
1034;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Nageleisen 01 10-48-2;2000000790;2000000790
1035;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Nageleisen 01 10-64-2;;2000000424
1036;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Nageleisen 02;;2000000481
1037;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Brechstange 02 10-48-2;;2000000389
1038;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Brechstange 03;;2000000192
1039;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Brechstange 01 10-48-2;;2000000388
1040;Werkzeuge und Arbeitsgeräte;Brechwerkzeuge;Brechstange 01 10-23-2;;2000000332
1041;Werkzeuge und Arbeitsgeräte;Drahtscheren, Blechaufreißer;Blechaufreißer 01;;2000000015
1042;Werkzeuge und Arbeitsgeräte;Einreißhaken;Einreißhaken 03 10-48-2;;2000000349
1043;Werkzeuge und Arbeitsgeräte;Einreißhaken;Einreißhaken 01 10-23-2;;2000000337
1044;Werkzeuge und Arbeitsgeräte;Einreißhaken;Einreißhaken 02 10-48-2;;2000000347
1045;Werkzeuge und Arbeitsgeräte;Feuerpatschen (Waldbrandpatschen);Feuerpatsche 03 10-48-2;;2000000346
1046;Werkzeuge und Arbeitsgeräte;Feuerpatschen (Waldbrandpatschen);Feuerpatsche 02 10-48-2;;2000000345
1047;Werkzeuge und Arbeitsgeräte;Feuerpatschen (Waldbrandpatschen);Feuerpatsche 01 10-23-2;;2000000341
1048;Werkzeuge und Arbeitsgeräte;Feuerpatschen (Waldbrandpatschen);Feuerpatsche 04;;2000000480
1049;Werkzeuge und Arbeitsgeräte;Halligan-Tools, Hooligan-Tools;Halligen-Tool 01 10-23-2;2000000130;2000000130
1050;Werkzeuge und Arbeitsgeräte;Halligan-Tools, Hooligan-Tools;Halligen-Tool 03 10-64-2;;2000000488
1051;Werkzeuge und Arbeitsgeräte;Halligan-Tools, Hooligan-Tools;Halligen-Tool 01;;2000000390
1052;Werkzeuge und Arbeitsgeräte;Halligan-Tools, Hooligan-Tools;Tragesystem 01;2000000815;2000000815
1053;Werkzeuge und Arbeitsgeräte;Halligan-Tools, Hooligan-Tools;Halligen-Tool 02 10-48-2;;2000000080
1054;Werkzeuge und Arbeitsgeräte;Hämmer, Meißel;Vorschlaghammer 01;;2000000193
1055;Werkzeuge und Arbeitsgeräte;Hämmer, Meißel;Spalthammer 01;;2000000478
1056;Werkzeuge und Arbeitsgeräte;Hämmer, Meißel;Spalthammer 02;;2000000479
1057;Werkzeuge und Arbeitsgeräte;Hilfsmittel, Hilfsmaterial, Klebeband etc.;Packexe Smash Kit 10-48-02 01;2000000534;2000000534
1058;Werkzeuge und Arbeitsgeräte;Hilfsmittel, Hilfsmaterial, Klebeband etc.;Packexe Smash Kit 01;;
1059;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 22;M22;M22
1060;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 69;M69;M69
1061;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 72;M72;M72
1062;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 18;M18;M18
1063;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 20;M20;M20
1064;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 09;M09;M09
1065;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 10;M10;M10
1066;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 70;M70;M70
1067;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 07;M07;M07
1068;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 68;M68;M68
1069;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 49;M49;M49
1070;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 11;M11;M11
1071;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 46;M46;M46
1072;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 17;M17;M17
1073;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 42;M42;M42
1074;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 60;M60;M60
1075;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 39;M39;M39
1076;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 67;M67;M67
1077;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 54;M54;M54
1078;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 35;M35;M35
1079;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 33;M33;M33
1080;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 32;M32;M32
1081;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 30;M30;M30
1082;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 29;M29;M29
1083;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 28;M28;M28
1084;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 27;M27;M27
1085;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 15;M15;M15
1086;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 13;M01;
1087;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 71;M71;M71
1088;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 01;M01;M01
1089;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 06;M06;M06
1090;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 02;M02;M02
1091;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 66;M66;M66
1092;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 53;M53;M53
1093;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 12;M12;M12
1094;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 40;M40;M40
1095;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 14;M14;M14
1096;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 65;M65;M65
1097;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 62;M62;M62
1098;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 19;M19;M19
1099;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 59;M59;M59
1100;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 61;M61;M61
1101;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 58;M58;M58
1102;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 57;M57;M57
1103;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 37;M37;M37
1104;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 36;M36;M36
1105;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 38;M38;M38
1106;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 73;M73;M73
1107;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 63;M63;M63
1108;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 08;M08;M08
1109;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 16;M16;M16
1110;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 05;M05;M05
1111;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 03;M03;M03
1112;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 74;M74;M74
1113;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 75;M75;M75
1114;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 04;M04;M04
1115;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 64;M64;M64
1116;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 34;M34;M34
1117;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 43;M43;M43
1118;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 41;M41;M41
1119;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 47;M47;M47
1120;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 45;M45;M45
1121;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 48;M48;M48
1122;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 50;M50;M50
1123;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 51;M51;M51
1124;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 52;M52;M52
1125;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 21;M21;M21
1126;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 26;M26;M26
1127;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 31;M31;M31
1128;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 44;M44;M44
1129;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 24;M01;M24
1130;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 55;M55;M55
1131;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 23;M23;M23
1132;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 25;M25;M25
1133;Werkzeuge und Arbeitsgeräte;Messer;Rettungsmesser 56;M56;M56
1134;Werkzeuge und Arbeitsgeräte;Pfostenschlüssel;Dreikantschlüssel 02 10-48-2;;2000000393
1135;Werkzeuge und Arbeitsgeräte;Pfostenschlüssel;Dreikantschlüssel 01 10-48-2;;2000000392
1136;Werkzeuge und Arbeitsgeräte;Pfostenschlüssel;Dreikantschlüssel 01 10-64-2;;2000000405
1137;Werkzeuge und Arbeitsgeräte;Pfostenschlüssel;Dreikantschlüssel 01 10-23-2;;2000000334
1138;Werkzeuge und Arbeitsgeräte;Pfostenschlüssel;Dreikantschlüssel 02 10-23-2;;2000000335
1139;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Formholz 01;;
1140;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 02;;2000000232
1141;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Formholz 02;;
1142;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 06;;2000000228
1143;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 05;;2000000230
1144;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 04;;2000000229
1145;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 03;;2000000231
1146;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 07;;2000000227
1147;Werkzeuge und Arbeitsgeräte;Rüsthölzer, Windenstützen, Kanalstreben;Windenstütze 01;;2000000233
1148;Werkzeuge und Arbeitsgeräte;Sägen;Bügelsäge 01 10-64-2;;
1149;Werkzeuge und Arbeitsgeräte;Sägen;Bügelsäge 01 10-48-2;;2000000391
1150;Werkzeuge und Arbeitsgeräte;Sägen;Bügelsäge 01 10-23-2;;2000000333
1151;Werkzeuge und Arbeitsgeräte;Schlüssel, Schlüssel-Sätze;BMA-Schlüssel 01;;
1152;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Schaufel 03;;
1153;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Dunghaken 02 10-48-2;;2000000344
1154;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Schaufel 04;;
1155;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Spaten 03;;2000000198
1156;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Dunghaken 03 10-48-2;;2000000348
1157;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Forke 02;;
1158;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Schaufel 05;;
1159;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Spaten 02;;
1160;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Forke 01 10-23-2;;2000000342
1161;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Dunghaken 01 10-23-2;;2000000338
1162;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Schaufel 02;;
1163;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Schaufel 01;;
1164;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Spaten 01;;2000000128
1165;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Dunghaken 03 10-23-2;;2000000340
1166;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Dunghaken 01 10-48-2;;2000000343
1167;Werkzeuge und Arbeitsgeräte;Spaten, Schaufeln, Hacken;Dunghaken 02 10-23-2;;2000000339
1168;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Bosch Akku 04;;2000000164
1169;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Elektrowerkzeugkasten 01 10-64-2;;2000000245
1170;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Werkzeugkasten 02;;2000000014
1171;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Bosch Akku 05;;2000000166
1172;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Werkzeugkasten 01;;2000000013
1173;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Werkzeugkoffer;;2000000139
1174;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Schornsteinfegersatz 01 10-23-2;;2000000336
1175;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Akkufräse;;2000000026
1176;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Akkuschrauber;;2000000028
1177;Werkzeuge und Arbeitsgeräte;Werkzeug, allgemein;Bosch Akku 03;;2000000246
1178;Werkzeuge und Arbeitsgeräte;Werkzeugsatz;Spannungswarner 01 10-48-2;2000000679;2000000679
1179;Werkzeuge und Arbeitsgeräte;Werkzeugsatz;Prüfball 01;;2000000084
;;;;;30.09.2025
